status, oldUrl, newUrl,failure, actual
passed,the user opens /A36364 on the old website,the user verifies resulting resource /4-107-6775,null,
passed,the user opens /A36368 on the old website,the user verifies resulting resource /6-107-6779,null,
passed,the user opens /A36369 on the old website,the user verifies resulting resource /4-107-6780,null,
passed,the user opens /A36370 on the old website,the user verifies resulting resource /2-107-6781,null,
passed,the user opens /A36371 on the old website,the user verifies resulting resource /0-107-6782,null,
passed,the user opens /A36373 on the old website,the user verifies resulting resource /6-107-6784,null,
passed,the user opens /A36374 on the old website,the user verifies resulting resource /3-107-6785,null,
passed,the user opens /A36378 on the old website,the user verifies resulting resource /5-107-6789,null,
passed,the user opens /A36380 on the old website,the user verifies resulting resource /1-107-6791,null,
passed,the user opens /A36384 on the old website,the user verifies resulting resource /2-107-6795,null,
passed,the user opens /A36385 on the old website,the user verifies resulting resource /0-107-6796,null,
passed,the user opens /A36389 on the old website,the user verifies resulting resource /0-107-6800,null,
passed,the user opens /A36399 on the old website,the user verifies resulting resource /2-107-1986,null,
passed,the user opens /A36402 on the old website,the user verifies resulting resource /6-107-6802,null,
passed,the user opens /A36403 on the old website,the user verifies resulting resource /4-107-6803,null,
passed,the user opens /A36404 on the old website,the user verifies resulting resource /2-107-6804,null,
passed,the user opens /A36406 on the old website,the user verifies resulting resource /7-107-6806,null,
passed,the user opens /A36414 on the old website,the user verifies resulting resource /1-107-6814,null,
passed,the user opens /A36415 on the old website,the user verifies resulting resource /8-107-6815,null,
passed,the user opens /A36416 on the old website,the user verifies resulting resource /6-107-6816,null,
passed,the user opens /A36417 on the old website,the user verifies resulting resource /4-107-6817,null,
passed,the user opens /A36418 on the old website,the user verifies resulting resource /2-107-6818,null,
passed,the user opens /A36422 on the old website,the user verifies resulting resource /4-107-6822,null,
passed,the user opens /A36424 on the old website,the user verifies resulting resource /0-107-6824,null,
passed,the user opens /A36425 on the old website,the user verifies resulting resource /7-107-6825,null,
passed,the user opens /a36430 on the old website,the user verifies resulting resource /7-107-6830,null,
passed,the user opens /A36431 on the old website,the user verifies resulting resource /5-107-6831,null,
passed,the user opens /A36433 on the old website,the user verifies resulting resource /1-107-6833,null,
passed,the user opens /A36435 on the old website,the user verifies resulting resource /6-107-6835,null,
passed,the user opens /A36436 on the old website,the user verifies resulting resource /4-107-6836,null,
passed,the user opens /A36437 on the old website,the user verifies resulting resource /2-107-6837,null,
passed,the user opens /A36439 on the old website,the user verifies resulting resource /8-107-6839,null,
passed,the user opens /A36443 on the old website,the user verifies resulting resource /0-107-6843,null,
passed,the user opens /A36448 on the old website,the user verifies resulting resource /9-107-6848,null,
passed,the user opens /A36450 on the old website,the user verifies resulting resource /5-107-6850,null,
passed,the user opens /A36452 on the old website,the user verifies resulting resource /1-107-6852,null,
passed,the user opens /a36454 on the old website,the user verifies resulting resource /7-107-6854,null,
passed,the user opens /A36457 on the old website,the user verifies resulting resource /0-107-6857,null,
passed,the user opens /A36462 on the old website,the user verifies resulting resource /0-107-6862,null,
passed,the user opens /A36463 on the old website,the user verifies resulting resource /8-107-6863,null,
passed,the user opens /A36464 on the old website,the user verifies resulting resource /6-107-6864,null,
passed,the user opens /A36465 on the old website,the user verifies resulting resource /3-107-6865,null,
passed,the user opens /A36487 on the old website,the user verifies resulting resource /0-107-6876,null,
passed,the user opens /A36505 on the old website,the user verifies resulting resource /8-107-6882,null,
passed,the user opens /A36513 on the old website,the user verifies resulting resource /3-107-6889,null,
passed,the user opens /A36516 on the old website,the user verifies resulting resource /9-107-6891,null,
passed,the user opens /A36518 on the old website,the user verifies resulting resource /5-107-6893,null,
passed,the user opens /A36521 on the old website,the user verifies resulting resource /0-107-6895,null,
passed,the user opens /A36524 on the old website,the user verifies resulting resource /8-107-6896,null,
passed,the user opens /A36528 on the old website,the user verifies resulting resource /2-107-6899,null,
passed,the user opens /A36529 on the old website,the user verifies resulting resource /8-107-6900,null,
passed,the user opens /A36544 on the old website,the user verifies resulting resource /5-107-6911,null,
passed,the user opens /A36545 on the old website,the user verifies resulting resource /3-107-6912,null,
passed,the user opens /A36546 on the old website,the user verifies resulting resource /1-107-6913,null,
passed,the user opens /A36553 on the old website,the user verifies resulting resource /0-107-6918,null,
passed,the user opens /A36563 on the old website,the user verifies resulting resource /3-107-6926,null,
passed,the user opens /A36569 on the old website,the user verifies resulting resource /3-107-6931,null,
passed,the user opens /A36574 on the old website,the user verifies resulting resource /7-107-6934,null,
passed,the user opens /A36577 on the old website,the user verifies resulting resource /0-107-6937,null,
passed,the user opens /a36581 on the old website,the user verifies resulting resource /2-107-6941,null,
passed,the user opens /A36584 on the old website,the user verifies resulting resource /6-102-5898,null,
passed,the user opens /A36586 on the old website,the user verifies resulting resource /0-107-6942,null,
passed,the user opens /A3659 on the old website,the user verifies resulting resource /0-100-3465,null,
passed,the user opens /A36592 on the old website,the user verifies resulting resource /7-107-6948,null,
passed,the user opens /A36594 on the old website,the user verifies resulting resource /3-107-6950,null,
passed,the user opens /A36595 on the old website,the user verifies resulting resource /1-107-6951,null,
passed,the user opens /A36601 on the old website,the user verifies resulting resource /9-107-6952,null,
passed,the user opens /A36603 on the old website,the user verifies resulting resource /5-107-6954,null,
passed,the user opens /A36605 on the old website,the user verifies resulting resource /0-107-6956,null,
passed,the user opens /A36608 on the old website,the user verifies resulting resource /4-107-6959,null,
passed,the user opens /A36610 on the old website,the user verifies resulting resource /0-107-6961,null,
passed,the user opens /A36611 on the old website,the user verifies resulting resource /8-107-6962,null,
passed,the user opens /A36613 on the old website,the user verifies resulting resource /4-107-6964,null,
passed,the user opens /A36615 on the old website,the user verifies resulting resource /9-107-6966,null,
passed,the user opens /A36617 on the old website,the user verifies resulting resource /2-102-5904,null,
passed,the user opens /A36624 on the old website,the user verifies resulting resource /5-107-6973,null,
passed,the user opens /A36627 on the old website,the user verifies resulting resource /8-107-6976,null,
passed,the user opens /A36632 on the old website,the user verifies resulting resource /0-107-6980,null,
passed,the user opens /A36633 on the old website,the user verifies resulting resource /8-107-6981,null,
